video_path,category,label,target,predicted_label,fake_probability,correct
Dataset\Video\original\006.mp4,original,REAL,0,1,0.9834440152435275,0
Dataset\Video\original\046.mp4,original,REAL,0,0,0.6239912125491931,1
Dataset\Video\original\203.mp4,original,REAL,0,0,0.02129787467301889,1
Dataset\Video\original\887.mp4,original,REAL,0,0,0.009054679605392009,1
Dataset\Video\original\603.mp4,original,REAL,0,1,0.9785676500311512,0
Dataset\Video\original\758.mp4,original,REAL,0,0,8.013765832863832e-05,1
Dataset\Video\original\344.mp4,original,REAL,0,0,0.2669385256030428,1
Dataset\Video\original\754.mp4,original,REAL,0,0,0.001540749164138324,1
Dataset\Video\original\103.mp4,original,REAL,0,0,4.786753543539235e-08,1
Dataset\Video\original\389.mp4,original,REAL,0,0,0.5665109943201253,1
Dataset\Video\original\947.mp4,original,REAL,0,1,0.9999933058517156,0
Dataset\Video\original\166.mp4,original,REAL,0,0,0.019911143434205702,1
Dataset\Video\original\281.mp4,original,REAL,0,0,0.07126765837365857,1
Dataset\Video\original\591.mp4,original,REAL,0,1,0.9993770687118998,0
Dataset\Video\original\686.mp4,original,REAL,0,0,0.017609061054590792,1
Dataset\Video\original\114.mp4,original,REAL,0,0,0.5627235756316477,1
Dataset\Video\original\233.mp4,original,REAL,0,0,0.006265383548141506,1
Dataset\Video\NeuralTextures\591_605.mp4,NeuralTextures,FAKE,1,1,0.999169942034213,1
Dataset\Video\Deepfakes\006_002.mp4,Deepfakes,FAKE,1,1,0.9633097583709684,1
Dataset\Video\NeuralTextures\006_002.mp4,NeuralTextures,FAKE,1,1,0.935863083246816,1
Dataset\Video\Face2Face\203_201.mp4,Face2Face,FAKE,1,0,0.13465374291246793,0
Dataset\Video\Deepfakes\686_696.mp4,Deepfakes,FAKE,1,0,0.03351258011933013,0
Dataset\Video\NeuralTextures\758_754.mp4,NeuralTextures,FAKE,1,0,0.0002353622672821011,0
Dataset\Video\Deepfakes\591_605.mp4,Deepfakes,FAKE,1,1,0.9995593458916137,1
Dataset\Video\Face2Face\046_904.mp4,Face2Face,FAKE,1,0,0.09298932956637436,0
Dataset\Video\Deepfakes\166_167.mp4,Deepfakes,FAKE,1,0,0.028381552124124503,0
Dataset\Video\FaceSwap\887_275.mp4,FaceSwap,FAKE,1,0,0.007876079054469522,0
Dataset\Video\FaceShifter\233_995.mp4,FaceShifter,FAKE,1,0,0.009766261449392353,0
Dataset\Video\FaceShifter\754_758.mp4,FaceShifter,FAKE,1,0,0.002246565703268977,0
Dataset\Video\FaceShifter\046_904.mp4,FaceShifter,FAKE,1,0,0.4779089784390294,0
Dataset\Video\NeuralTextures\166_167.mp4,NeuralTextures,FAKE,1,0,0.007152803857818065,0
Dataset\Video\FaceSwap\166_167.mp4,FaceSwap,FAKE,1,0,0.02387045563388325,0
Dataset\Video\FaceSwap\114_102.mp4,FaceSwap,FAKE,1,0,0.18416784467212366,0
Dataset\Video\Face2Face\947_951.mp4,Face2Face,FAKE,1,1,0.9999988904275791,1
Dataset\Video\NeuralTextures\389_480.mp4,NeuralTextures,FAKE,1,0,0.5958219064251318,0
Dataset\Video\FaceShifter\344_020.mp4,FaceShifter,FAKE,1,0,0.09227226319499858,0
Dataset\Video\FaceShifter\887_275.mp4,FaceShifter,FAKE,1,0,0.020052911272644316,0
