video_path,category,label,frames_sampled,faces_detected,detection_rate,avg_face_area_ratio,backend,readable
Dataset\Video\DeepFakeDetection\22_10__walking_and_outside_surprised__C1U7OY5M.mp4,DeepFakeDetection,FAKE,10,10,1.0,0.0357,mediapipe,True
Dataset\Video\DeepFakeDetection\02_15__walking_and_outside_surprised__I8G2LWD1.mp4,DeepFakeDetection,FAKE,10,10,1.0,0.0479,mediapipe,True
Dataset\Video\DeepFakeDetection\01_20__kitchen_pan__6UBMLXK3.mp4,DeepFakeDetection,FAKE,10,9,0.9,0.032,haar,True
Dataset\Video\DeepFakeDetection\26_25__walking_outside_cafe_disgusted__0UFFR3U1.mp4,DeepFakeDetection,FAKE,10,10,1.0,0.0355,mediapipe,True
Dataset\Video\DeepFakeDetection\07_04__exit_phone_room__QKCCFKBT.mp4,DeepFakeDetection,FAKE,10,10,1.0,0.0291,mediapipe,True
Dataset\Video\DeepFakeDetection\06_15__kitchen_still__QRCD27P8.mp4,DeepFakeDetection,FAKE,10,10,1.0,0.0319,mediapipe,True
Dataset\Video\DeepFakeDetection\06_03__talking_against_wall__4I8LRXWF.mp4,DeepFakeDetection,FAKE,10,10,1.0,0.0367,mediapipe,True
Dataset\Video\DeepFakeDetection\03_06__meeting_serious__83ABVHC3.mp4,DeepFakeDetection,FAKE,10,10,1.0,0.0086,haar,True
Dataset\Video\DeepFakeDetection\02_15__talking_angry_couch__HTG660F8.mp4,DeepFakeDetection,FAKE,10,10,1.0,0.0487,mediapipe,True
Dataset\Video\DeepFakeDetection\24_19__walk_down_hall_angry__OF8LF68K.mp4,DeepFakeDetection,FAKE,10,10,1.0,0.012,mediapipe,True
Dataset\Video\Deepfakes\954_976.mp4,Deepfakes,FAKE,10,10,1.0,0.0335,mediapipe,True
Dataset\Video\Deepfakes\692_610.mp4,Deepfakes,FAKE,10,10,1.0,0.1,mediapipe,True
Dataset\Video\Deepfakes\094_111.mp4,Deepfakes,FAKE,10,10,1.0,0.0463,mediapipe,True
Dataset\Video\Deepfakes\754_758.mp4,Deepfakes,FAKE,10,10,1.0,0.0464,mediapipe,True
Dataset\Video\Deepfakes\558_583.mp4,Deepfakes,FAKE,10,10,1.0,0.0536,mediapipe,True
Dataset\Video\Deepfakes\032_944.mp4,Deepfakes,FAKE,10,10,1.0,0.0844,mediapipe,True
Dataset\Video\Deepfakes\030_193.mp4,Deepfakes,FAKE,10,10,1.0,0.1073,mediapipe,True
Dataset\Video\Deepfakes\225_151.mp4,Deepfakes,FAKE,10,10,1.0,0.0382,mediapipe,True
Dataset\Video\Deepfakes\233_995.mp4,Deepfakes,FAKE,10,10,1.0,0.0215,haar,True
Dataset\Video\Deepfakes\650_625.mp4,Deepfakes,FAKE,10,10,1.0,0.0494,mediapipe,True
Dataset\Video\Face2Face\759_755.mp4,Face2Face,FAKE,10,10,1.0,0.0504,haar,True
Dataset\Video\Face2Face\030_193.mp4,Face2Face,FAKE,10,10,1.0,0.1126,mediapipe,True
Dataset\Video\Face2Face\718_972.mp4,Face2Face,FAKE,10,10,1.0,0.0538,mediapipe,True
Dataset\Video\Face2Face\220_219.mp4,Face2Face,FAKE,10,10,1.0,0.045,mediapipe,True
