feature,feature_family,mean_abs_shap,mean_shap,direction
glcm_dissimilarity_std,Texture (GLCM),0.804272,0.29317,Pushes FAKE
lbp_hist_5_min,Texture (LBP & Gray),0.750647,0.466224,Pushes FAKE
lbp_hist_5_mean,Texture (LBP & Gray),0.576653,-0.407706,Pushes REAL
v_hist_6_std,Color (HSV),0.553205,0.42306,Pushes FAKE
lbp_hist_1_std,Texture (LBP & Gray),0.526219,0.164215,Pushes FAKE
lbp_hist_6_min,Texture (LBP & Gray),0.510322,-0.038237,Pushes REAL
lbp_hist_3_std,Texture (LBP & Gray),0.470234,0.196691,Pushes FAKE
h_hist_7_std,Color (HSV),0.460057,0.137048,Pushes FAKE
s_hist_6_min,Color (HSV),0.44514,0.025771,Pushes FAKE
lbp_hist_7_std,Texture (LBP & Gray),0.442783,-0.181824,Pushes REAL
h_mean_min,Color (HSV),0.44146,0.017658,Pushes FAKE
h_std_mean,Color (HSV),0.438919,0.055027,Pushes FAKE
glcm_correlation_std,Texture (GLCM),0.437726,-0.269392,Pushes REAL
edge_std_mean,Edge (Canny),0.436508,0.227453,Pushes FAKE
lbp_hist_6_max,Texture (LBP & Gray),0.393547,-0.094133,Pushes REAL
s_std_std,Color (HSV),0.393374,0.077527,Pushes FAKE
lbp_hist_0_std,Texture (LBP & Gray),0.38935,-0.017119,Pushes REAL
lbp_hist_6_std,Texture (LBP & Gray),0.388594,0.18113,Pushes FAKE
s_hist_2_mean,Color (HSV),0.385589,-0.1073,Pushes REAL
lbp_hist_1_max,Texture (LBP & Gray),0.37509,0.109563,Pushes FAKE
lbp_hist_4_std,Texture (LBP & Gray),0.368805,0.246136,Pushes FAKE
v_hist_0_min,Color (HSV),0.368087,-0.309499,Pushes REAL
s_hist_7_std,Color (HSV),0.363234,0.075853,Pushes FAKE
lbp_hist_5_std,Texture (LBP & Gray),0.361829,0.144882,Pushes FAKE
s_std_mean,Color (HSV),0.339565,-0.222309,Pushes REAL
dct_high_energy_std,Frequency (DCT),0.336191,-0.105762,Pushes REAL
h_hist_4_max,Color (HSV),0.335492,0.077977,Pushes FAKE
s_hist_3_mean,Color (HSV),0.335142,-0.004192,Pushes REAL
v_hist_4_mean,Color (HSV),0.332705,-0.159148,Pushes REAL
glcm_energy_max,Texture (GLCM),0.330968,0.142822,Pushes FAKE
lbp_hist_9_min,Texture (LBP & Gray),0.32881,-0.207585,Pushes REAL
s_hist_5_min,Color (HSV),0.326221,-0.126969,Pushes REAL
lbp_hist_2_max,Texture (LBP & Gray),0.323828,-0.162688,Pushes REAL
s_hist_5_mean,Color (HSV),0.320055,-0.13981,Pushes REAL
v_hist_2_min,Color (HSV),0.317501,0.001569,Pushes FAKE
