video_path,category,actual_label,predicted_label,prediction_probability,evidence_type,feature,feature_family,feature_value,shap_value,direction
Dataset\Video\original\044.mp4,original,REAL,FAKE,0.9977,Top FAKE Evidence,v_hist_6_std,Color (HSV),0.05437,2.370379,Pushes FAKE
Dataset\Video\original\044.mp4,original,REAL,FAKE,0.9977,Top FAKE Evidence,h_hist_1_min,Color (HSV),0.437241,0.993434,Pushes FAKE
Dataset\Video\original\044.mp4,original,REAL,FAKE,0.9977,Top FAKE Evidence,v_hist_5_mean,Color (HSV),0.441307,0.771673,Pushes FAKE
Dataset\Video\original\044.mp4,original,REAL,FAKE,0.9977,Top FAKE Evidence,v_hist_5_std,Color (HSV),0.040309,0.760774,Pushes FAKE
Dataset\Video\original\044.mp4,original,REAL,FAKE,0.9977,Top FAKE Evidence,v_hist_5_max,Color (HSV),0.513123,0.747947,Pushes FAKE
Dataset\Video\original\044.mp4,original,REAL,FAKE,0.9977,Top FAKE Evidence,lbp_hist_0_std,Texture (LBP & Gray),0.000485,0.481186,Pushes FAKE
Dataset\Video\original\044.mp4,original,REAL,FAKE,0.9977,Top FAKE Evidence,edge_std_mean,Edge (Canny),60.367091,0.471475,Pushes FAKE
Dataset\Video\original\044.mp4,original,REAL,FAKE,0.9977,Top FAKE Evidence,s_hist_5_std,Color (HSV),0.019851,0.464071,Pushes FAKE
Dataset\Video\original\044.mp4,original,REAL,FAKE,0.9977,Top FAKE Evidence,h_hist_1_mean,Color (HSV),0.506712,0.435237,Pushes FAKE
Dataset\Video\original\044.mp4,original,REAL,FAKE,0.9977,Top FAKE Evidence,v_hist_5_min,Color (HSV),0.37999,0.431468,Pushes FAKE
Dataset\Video\original\044.mp4,original,REAL,FAKE,0.9977,Top REAL Evidence,s_hist_5_mean,Color (HSV),0.280212,-0.893679,Pushes REAL
Dataset\Video\original\044.mp4,original,REAL,FAKE,0.9977,Top REAL Evidence,s_hist_5_min,Color (HSV),0.228027,-0.792701,Pushes REAL
