source_id,video_count,categories_count,categories_present,labels_present,connected_components,sample_videos
006,6,6,Deepfakes|Face2Face|FaceShifter|FaceSwap|NeuralTextures|original,FAKE|REAL,COMP_001,Dataset\Video\original\006.mp4|Dataset\Video\Deepfakes\006_002.mp4|Dataset\Video\Face2Face\006_002.mp4
470,6,6,Deepfakes|Face2Face|FaceShifter|FaceSwap|NeuralTextures|original,FAKE|REAL,COMP_060,Dataset\Video\original\470.mp4|Dataset\Video\Deepfakes\470_468.mp4|Dataset\Video\Face2Face\470_468.mp4
379,6,6,Deepfakes|Face2Face|FaceShifter|FaceSwap|NeuralTextures|original,FAKE|REAL,COMP_029,Dataset\Video\original\379.mp4|Dataset\Video\Deepfakes\379_158.mp4|Dataset\Video\Face2Face\379_158.mp4
387,6,6,Deepfakes|Face2Face|FaceShifter|FaceSwap|NeuralTextures|original,FAKE|REAL,COMP_049,Dataset\Video\original\387.mp4|Dataset\Video\Deepfakes\387_311.mp4|Dataset\Video\Face2Face\387_311.mp4
389,6,6,Deepfakes|Face2Face|FaceShifter|FaceSwap|NeuralTextures|original,FAKE|REAL,COMP_056,Dataset\Video\original\389.mp4|Dataset\Video\Deepfakes\389_480.mp4|Dataset\Video\Face2Face\389_480.mp4
429,6,6,Deepfakes|Face2Face|FaceShifter|FaceSwap|NeuralTextures|original,FAKE|REAL,COMP_057,Dataset\Video\original\429.mp4|Dataset\Video\Deepfakes\429_404.mp4|Dataset\Video\Face2Face\429_404.mp4
432,6,6,Deepfakes|Face2Face|FaceShifter|FaceSwap|NeuralTextures|original,FAKE|REAL,COMP_052,Dataset\Video\original\432.mp4|Dataset\Video\Deepfakes\432_357.mp4|Dataset\Video\Face2Face\432_357.mp4
459,6,6,Deepfakes|Face2Face|FaceShifter|FaceSwap|NeuralTextures|original,FAKE|REAL,COMP_058,Dataset\Video\original\459.mp4|Dataset\Video\Deepfakes\459_430.mp4|Dataset\Video\Face2Face\459_430.mp4
464,6,6,Deepfakes|Face2Face|FaceShifter|FaceSwap|NeuralTextures|original,FAKE|REAL,COMP_059,Dataset\Video\original\464.mp4|Dataset\Video\Deepfakes\464_463.mp4|Dataset\Video\Face2Face\464_463.mp4
517,6,6,Deepfakes|Face2Face|FaceShifter|FaceSwap|NeuralTextures|original,FAKE|REAL,COMP_061,Dataset\Video\original\517.mp4|Dataset\Video\Deepfakes\517_521.mp4|Dataset\Video\Face2Face\517_521.mp4
618,6,6,Deepfakes|Face2Face|FaceShifter|FaceSwap|NeuralTextures|original,FAKE|REAL,COMP_072,Dataset\Video\original\618.mp4|Dataset\Video\Deepfakes\618_629.mp4|Dataset\Video\Face2Face\618_629.mp4
549,6,6,Deepfakes|Face2Face|FaceShifter|FaceSwap|NeuralTextures|original,FAKE|REAL,COMP_063,Dataset\Video\original\549.mp4|Dataset\Video\Deepfakes\549_531.mp4|Dataset\Video\Face2Face\549_531.mp4
558,6,6,Deepfakes|Face2Face|FaceShifter|FaceSwap|NeuralTextures|original,FAKE|REAL,COMP_065,Dataset\Video\original\558.mp4|Dataset\Video\Deepfakes\558_583.mp4|Dataset\Video\Face2Face\558_583.mp4
565,6,6,Deepfakes|Face2Face|FaceShifter|FaceSwap|NeuralTextures|original,FAKE|REAL,COMP_066,Dataset\Video\original\565.mp4|Dataset\Video\Deepfakes\565_589.mp4|Dataset\Video\Face2Face\565_589.mp4
574,6,6,Deepfakes|Face2Face|FaceShifter|FaceSwap|NeuralTextures|original,FAKE|REAL,COMP_064,Dataset\Video\original\574.mp4|Dataset\Video\Deepfakes\574_547.mp4|Dataset\Video\Face2Face\574_547.mp4
591,6,6,Deepfakes|Face2Face|FaceShifter|FaceSwap|NeuralTextures|original,FAKE|REAL,COMP_068,Dataset\Video\original\591.mp4|Dataset\Video\Deepfakes\591_605.mp4|Dataset\Video\Face2Face\591_605.mp4
603,6,6,Deepfakes|Face2Face|FaceShifter|FaceSwap|NeuralTextures|original,FAKE|REAL,COMP_067,Dataset\Video\original\603.mp4|Dataset\Video\Deepfakes\603_575.mp4|Dataset\Video\Face2Face\603_575.mp4
604,6,6,Deepfakes|Face2Face|FaceShifter|FaceSwap|NeuralTextures|original,FAKE|REAL,COMP_069,Dataset\Video\original\604.mp4|Dataset\Video\Deepfakes\604_703.mp4|Dataset\Video\Face2Face\604_703.mp4
373,6,6,Deepfakes|Face2Face|FaceShifter|FaceSwap|NeuralTextures|original,FAKE|REAL,COMP_055,Dataset\Video\original\373.mp4|Dataset\Video\Deepfakes\373_394.mp4|Dataset\Video\Face2Face\373_394.mp4
370,6,6,Deepfakes|Face2Face|FaceShifter|FaceSwap|NeuralTextures|original,FAKE|REAL,COMP_054,Dataset\Video\original\370.mp4|Dataset\Video\Deepfakes\370_483.mp4|Dataset\Video\Face2Face\370_483.mp4
367,6,6,Deepfakes|Face2Face|FaceShifter|FaceSwap|NeuralTextures|original,FAKE|REAL,COMP_053,Dataset\Video\original\367.mp4|Dataset\Video\Deepfakes\367_371.mp4|Dataset\Video\Face2Face\367_371.mp4
363,6,6,Deepfakes|Face2Face|FaceShifter|FaceSwap|NeuralTextures|original,FAKE|REAL,COMP_051,Dataset\Video\original\363.mp4|Dataset\Video\Deepfakes\363_343.mp4|Dataset\Video\Face2Face\363_343.mp4
214,6,6,Deepfakes|Face2Face|FaceShifter|FaceSwap|NeuralTextures|original,FAKE|REAL,COMP_036,Dataset\Video\original\214.mp4|Dataset\Video\Deepfakes\214_255.mp4|Dataset\Video\Face2Face\214_255.mp4
223,6,6,Deepfakes|Face2Face|FaceShifter|FaceSwap|NeuralTextures|original,FAKE|REAL,COMP_038,Dataset\Video\original\223.mp4|Dataset\Video\Deepfakes\223_586.mp4|Dataset\Video\Face2Face\223_586.mp4
225,6,6,Deepfakes|Face2Face|FaceShifter|FaceSwap|NeuralTextures|original,FAKE|REAL,COMP_028,Dataset\Video\original\225.mp4|Dataset\Video\Deepfakes\225_151.mp4|Dataset\Video\Face2Face\225_151.mp4
